name,review-count,cuisines,cost for 2,timings,rating
Green Theory,728 reviews,"Italian, Salad, Healthy Food, Cafe","₹1,100",11 AM to 11 PM,4.0
Helloo Delhi,383 reviews,North Indian,"₹1,000","12 Noon to 4 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12 Noon to 4 PM, 7 PM to 12 Midnight (Fri-Sat)",3.5
Baba Chatkora,206 reviews,"Street Food, North Indian",₹400,"12 Noon to 11 PM (Tue-Sun), Mon Closed",4.0
Jalsa,489 reviews,"North Indian, Mughlai","₹1,500","12 Noon to 3:30 PM, 6 PM to 11 PM",3.7
Chianti,1263 reviews,Italian,"₹1,500","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM (Mon-Fri), 12 Noon to 11:30 PM (Sat-Sun)",4.4
Krazzy Folds,668 reviews,"Italian, Mexican, Continental","₹1,000","12:30 PM to 3:30 PM, 6 PM to 10 PM (Tue-Thu), 12:30 PM to 3:30 PM, 6 PM to 10:30 PM (Fri-Sun), Mon Closed",3.9
Nando's,432 reviews,"Portuguese, African","₹1,200",11:30 AM to 11 PM,3.8
Malgudi Vattika,311 reviews,"South Indian, North Indian, Chinese, Maharashtrian",₹750,7 AM to 10:30 PM (Mon-Sun),3.7
D'hide Cafe,287 reviews,"Cafe, American",₹600,"10 AM to 11 PM (Mon-Fri), 8 AM to 11 PM (Sat-Sun)",4.0
No Limmits Lounge and Club,632 reviews,"Chinese, Continental, North Indian","₹1,700","11 AM to 11:30 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",3.7
Sunny's,403 reviews,"European, Italian, Seafood, Continental","₹1,800","12 Noon to 3 PM, 7 PM to 11 PM (Mon), 12 Noon to 11:30 PM (Tue-Sun)",4.0
Punjabi by Nature,1131 reviews,North Indian,"₹1,600",12 Noon to 11 PM,3.8
Anand Sweets and Savouries,362 reviews,"North Indian, Fast Food, Street Food, Desserts",₹200,8:30 AM to 10 PM,4.0
Szechuan Dragon,414 reviews,"Chinese, Thai",₹600,"12 Noon to 4 PM, 7 PM to 11 PM",4.0
Once Upon A Flame,402 reviews,"Steakhouse, Continental, Burger","₹1,200","12 Noon to 10:45 PM (Mon, Wed-Sun), Tue Closed",4.3
Tandoor,305 reviews,North Indian,"₹1,000","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.7
Konark Vegetarian Restaurant,262 reviews,"North Indian, Chinese, Continental, South Indian, Street Food",₹500,"8 AM to 10:30 PM (Mon, Wed-Sun), 10 AM to 10:30 PM (Tue)",3.8
China Pearl,642 reviews,Chinese,"₹1,100","12 Noon to 3:30 PM, 7 PM to 11 PM",4.1
Tippler - On The Roof,391 reviews,"Russian, Continental, North Indian","₹1,300",12 Noon to 1 AM,3.8
Sector 7 Café,120 reviews,"Continental, Cafe, Pizza, Steakhouse",₹600,"Closed (Mon),10:30 AM to 3 PM, 5 PM to 10:30 PM (Tue-Fri),9 AM to 3 PM, 5 PM to 11 PM (Sat-Sun)",4.1
Fish & Fries,206 reviews,"Continental, Seafood",₹500,"12 Noon to 10:35 PM (Mon-Fri),12 Noon to 10:55 PM (Sat-Sun)",3.3
Chavadi,568 reviews,Continental,"₹1,200",11 AM to 11 PM,4.3
BYLI - Bet You Love It!,692 reviews,"Continental, Italian, Mexican, Asian",₹800,9 AM to 11 PM,4.1
Khan Saheb Grills and Rolls,418 reviews,Fast Food,₹400,"12:30 PM to 11:30 PM (Mon-Thu, Sun), 12:30 PM to 12:30 AM (Fri-Sat)",3.8
The Biere Club,607 reviews,Finger Food,"₹1,700","3 PM to 11 PM (Mon-Thu), 3 PM to 12 Midnight (Fri), 12 Noon to 12 Midnight (Sat), 12 Noon to 11 PM (Sun)",4.0
JW Kitchen - JW Marriott Bengaluru,523 reviews,"North Indian, Continental, Italian","₹2,200",24 Hours,4.3
Esplanade,494 reviews,Bengali,"₹1,000","12 Noon to 3 PM, 7 PM to 11 PM",4.1
Smally's Resto Cafe,606 reviews,"American, Italian, Burger",₹850,12 Noon to 11 PM,3.9
The Yogisthaan Cafe,363 reviews,Healthy Food,₹600,8 AM to 9:30 PM,3.9
Jalsa,489 reviews,"North Indian, Mughlai","₹1,500","12 Noon to 3:30 PM, 6 PM to 11 PM",3.7
Chavadi,568 reviews,Continental,"₹1,200",11 AM to 11 PM,4.3
Napoli Italian Bistro,397 reviews,"Italian, Mexican, Salad, Healthy Food","₹1,250",11 AM to 11 PM,3.8
Punjabi by Nature,487 reviews,North Indian,"₹2,000",12 Noon to 11 PM,3.5
Petoo,555 reviews,"Biryani, North Indian, Bengali, Andhra",₹450,12 Noon to 10:30 PM,3.5
Art Blend Cafe,321 reviews,"Cafe, Continental, Chinese",₹750,9 AM to 10 PM,3.4
Cream Stone,389 reviews,Desserts,₹300,10 AM to 12 Midnight,4.0
Hoppipola,1001 reviews,"Continental, Mediterranean, European","₹1,300","12 Noon to 12 Midnight (Mon-Thu),12:30 PM to 12:45 AM (Fri-Sat),12 Noon to 11:45 PM (Sun)",3.9
Pasta Street,331 reviews,"Italian, Pizza","₹1,000",11 AM to 11 PM,4.0
Kylie's - The Bao Shop,201 reviews,"Asian, Chinese",₹250,"12 Noon to 10:30 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 11:30 PM (Fri),12:15 PM to 12 Midnight (Sat)",4.3
Mockaholic Restro Beer Cafe,239 reviews,"North Indian, Chinese","₹1,000",10 AM to 10 PM,2.7
g77 Café,45 reviews,"Cafe, Continental","₹1,200","Closed (Mon),12 Noon to 1 AM (Tue-Sun)",4.2
Noodle Bar,392 reviews,Chinese,"₹1,200","12 Noon to 4 PM, 7 PM to 11 PM",3.7
